SOH,DAYS
0.970545464,12
0.951296142,14
0.982524244,34
0.982127074,37
0.966466176,65
0.977925885,66
0.977559677,76
0.958964134,78
0.970161655,80
0.955740451,102
0.968912897,104
0.970560659,105
0.973146171,110
0.93641763,112
0.977305318,137
0.973034589,138
0.975166661,141
0.893313103,145
0.966691822,147
0.976279601,151
0.972682638,153
0.972505594,154
0.97107769,169
0.956650912,176
0.935520515,179
0.956388045,188
0.958980523,192
0.995733407,193
0.950579208,195
0.977455085,200
0.992238948,206
0.977773365,210
1.020477853,227
0.997197097,229
1.025859377,230
0.906766999,233
0.945528023,239
0.982522478,240
1.036056718,241
0.952954348,242
1.012405502,243
1.018855834,245
0.969505639,248
0.969503222,249
1.000204552,255
0.996222684,257
0.941499305,262
0.988835842,263
0.861202685,264
0.972625567,265
0.908495849,268
0.945696469,269
0.941192358,270
0.978586276,271
0.998322932,272
0.977558883,273
0.944328554,276
0.931308337,281
0.946883266,283
0.997976725,285
0.960293125,291
0.955117348,292
0.976005951,300
0.963742727,303
0.980514393,304
0.969890682,305
0.972571875,306
0.936855066,307
0.957246226,308
0.915406919,310
0.938432263,311
0.967388489,313
0.977495333,314
0.975345752,316
0.968217023,319
0.958206829,328
0.952930344,353
0.965516885,354
0.937459658,356
0.935764626,357
0.936076578,359
0.955657848,362
0.905826747,363
0.937919,365
0.881895814,366
0.96589824,367
0.949163919,369
0.935261693,370
0.945848123,374
0.950655897,408
0.963587308,410
0.937864534,412
0.959314959,413
0.945182111,414
0.972721134,418
0.956417636,419
0.925675582,420
0.909394105,421
0.926927306,423
0.932704091,424
0.917304778,425
0.935854153,427
0.949176389,428
0.932851412,429
0.938814526,430
0.945387444,431
0.940541491,434
0.935193976,435
0.935289535,436
0.939497117,441
0.939342185,442
0.932483947,443
0.936721611,444
0.932805393,445
0.940464421,446
0.93343001,447
0.934931088,448
0.92593453,449
0.944264426,450
0.944770852,451
0.94371466,456
0.922347572,461
0.922720099,464
0.929618954,468
0.934659514,470
0.912232593,492
0.931729176,493
0.934524897,494
0.913063805,495
0.935540141,496
0.923651348,497
0.940486451,498
0.93108709,499
0.950217912,500
0.949032847,501
0.929164987,502
0.921127891,503
0.93071752,504
0.899684777,505
0.931911779,506
0.923874665,507
0.917077015,508
0.946387576,509
0.940573126,511
0.918639306,512
0.941392541,514
0.954141677,515
0.938723438,516
0.919736267,517
0.936042203,518
0.928360422,519
0.96460397,520
0.900140693,521
0.934102554,522
0.928962148,523
0.915967947,524
0.911138473,525
0.936873863,526
0.930002251,527
0.931202288,529
0.928730985,530
0.922675458,531
0.937522342,531
0.92853381,532
0.924280371,533
0.933096534,534
0.919932517,535
0.947388489,536
0.917179701,537
0.93022275,538
0.93396955,539
0.952251835,540
0.932276174,543
0,550
0,555
0,560
0,565
0,570
0,575
0,580
0,585
0,590
0,595
0,600
0,605
0,610
0,615
0,620
0,625
0,630
0,635
0,640
0,645
0,650
0,655
0,660
0,665
0,670
0,675
0,680
0,685
0,690
0,695
0,700
0,705
0,710
0,715
0,720
0,725
0,730
0,735
0,740
0,745
0,750
0,755
0,760
0,765
0,770
0,775
0,780
0,785
0,790
0,795
0,800
0,805
0,810
0,815
0,820
0,825
0,830
0,835
0,840
0,845
0,850
0,855
0,860
0,865
0,870
0,875
0,880
